sl.no,smiles_format,xyz_file,energy
52,[C]12[C]3[C]1C23,c10h3_aggregates_ag_a_004_b_001_003_selected_result_027_001_ag_a_004_b_001.xyz,-152.492047
53,[C]#CC#C,c9h3_aggregates_ag_a_004_b_001_001_selected_result_017_000_ag_a_004_b_001.xyz,-152.567186
54,[C]C1=C[C]1,c7h7_aggregates_ag_a_004_b_001_007_selected_result_011_001_ag_a_004_b_001.xyz,-152.511450
55,[C]1[C]2[CH][C]12,c10h1_aggregates_ag_a_004_b_001_002_selected_result_023_001_ag_a_004_b_001.xyz,-152.517285
56,[CH][C]1[C][C]1,c7h1_aggregates_ag_a_004_b_001_003_selected_result_014_000_ag_a_004_b_001.xyz,NULL
57,[C]=CC#[C],c10h6_aggregates_ag_a_004_b_001_005_selected_result_019_001_ag_a_004_b_001.xyz,-152.567186
58,[C]1[C@H]2[C][C@@H]12,c6h7_aggregates_ag_a_004_b_002_001_selected_result_008_000_ag_a_004_b_002.xyz,-153.159109
59,[CH]1[C]2[CH][C]12,c6h3_aggregates_ag_a_004_b_002_000_selected_result_025_005_ag_a_004_b_002.xyz,-153.179337
60,[C]#C[C][CH2],c6h7_aggregates_ag_a_004_b_002_001_selected_result_001_005_ag_a_004_b_002.xyz,-153.212037
61,C#CC#C,c9h3_aggregates_ag_a_004_b_002_002_selected_result_017_005_ag_a_004_b_002.xyz,-153.278264
62,[C]=C1[C]C1,c10h5_aggregates_ag_a_004_b_002_005_selected_result_008_000_ag_a_004_b_002.xyz,-153.122033
63,[C]12[C]3[C@H]1[C@H]23,c6h2_aggregates_ag_a_004_b_002_003_selected_result_027_000_ag_a_004_b_002.xyz,-153.157542
64,[CH]C1=C[C]1,c8h8_aggregates_ag_a_004_b_002_001_selected_result_014_003_ag_a_004_b_002.xyz,-153.186008
65,[C]=CC#C,c7h3_aggregates_ag_a_004_b_002_009_selected_result_006_000_ag_a_004_b_002.xyz,NULL
66,[C]C1=C[CH]1,c9h6_aggregates_ag_a_004_b_002_007_selected_result_004_004_ag_a_004_b_002.xyz,-153.166538
67,[C]1[C]C[C]1,c10h3_aggregates_ag_a_004_b_002_005_selected_result_009_003_ag_a_004_b_002.xyz,-153.116975
68,[CH2][C]1[C][C]1,c9h8_aggregates_ag_a_004_b_002_001_selected_result_008_002_ag_a_004_b_002.xyz,-153.176162
69,[C]=CC=[C],c10h6_aggregates_ag_a_004_b_002_004_selected_result_029_002_ag_a_004_b_002.xyz,-153.114385
70,[C]1[C]2C[C]12,c8h3_aggregates_ag_a_004_b_002_001_selected_result_019_004_ag_a_004_b_002.xyz,-153.174159
71,C#C[C][CH2],c9h10_aggregates_ag_a_004_b_003_001_selected_result_000_000_ag_a_004_b_003.xyz,-153.863102
72,[CH]1[C]2C[C]12,c8h6_aggregates_ag_a_004_b_003_005_selected_result_009_004_ag_a_004_b_003.xyz,-153.803318
73,[C]C#CC,c9h7_aggregates_ag_a_004_b_003_002_selected_result_029_002_ag_a_004_b_003.xyz,-153.798377
74,[C]C(=[C])C,c5h8_aggregates_ag_a_004_b_003_006_selected_result_002_002_ag_a_004_b_003.xyz,-153.693500
75,[C]C1C=C1,c6h4_aggregates_ag_a_004_b_003_008_selected_result_027_001_ag_a_004_b_003.xyz,-153.735434
76,[CH]C1=C[CH]1,c6h4_aggregates_ag_a_004_b_003_005_selected_result_016_000_ag_a_004_b_003.xyz,-153.809191
77,[CH]=CC#C,c9h5_aggregates_ag_a_004_b_003_009_selected_result_006_000_ag_a_004_b_003.xyz,-153.836702
78,[CH][C]1[C]C1,c5h5_aggregates_ag_a_004_b_003_005_selected_result_021_000_ag_a_004_b_003.xyz,-153.863102
79,[CH2]C1=C[C]1,c5h7_aggregates_ag_a_004_b_003_001_selected_result_009_001_ag_a_004_b_003.xyz,-153.814387
80,[C]1[C]2C[C@@H]12,c6h5_aggregates_ag_a_004_b_003_009_selected_result_030_003_ag_a_004_b_003.xyz, -153.775057
81,[CH]1[C]2[CH]C12,c10h4_aggregates_ag_a_004_b_003_002_selected_result_026_001_ag_a_004_b_003.xyz,-153.798078
82,[C]12[C@H]3[C@@H]1[C@@H]23,c9h9_aggregates_ag_a_004_b_003_000_selected_result_011_001_ag_a_004_b_003.xyz,NULL
83,[C]C=C=C,c5h7_aggregates_ag_a_004_b_003_003_selected_result_021_001_ag_a_004_b_003.xyz,-153.776864
84,C[C]1[C][C]1,c5h8_aggregates_ag_a_004_b_003_006_selected_result_022_002_ag_a_004_b_003.xyz,-153.801752
85,[C]=C1[CH]C1,c4h4_aggregates_ag_a_004_b_003_002_selected_result_008_002_ag_a_004_b_003.xyz,153.772363
86,[C]CC#C,c8h8_aggregates_ag_a_004_b_003_000_selected_result_029_002_ag_a_004_b_003.xyz,-153.748359
87,[C]#CC=C,c10h6_aggregates_ag_a_004_b_003_008_selected_result_029_000_ag_a_004_b_003.xyz,-153.812176
88,[C][C@H]1[C]C1,c4h4_aggregates_ag_a_004_b_003_002_selected_result_021_002_ag_a_004_b_003.xyz,-153.783310
89,[C]1[C@H]2[CH][C@@H]12,c9h10_aggregates_ag_a_004_b_003_001_selected_result_008_001_ag_a_004_b_003.xyz,-153.783308
90,[CH]=C1C=C1,c9h5_aggregates_ag_a_004_b_003_009_selected_result_011_000_ag_a_004_b_003.xyz,-153.809192
91,C12C3C1C23,c4h5_aggregates_ag_a_004_b_004_006_selected_result_019_001_ag_a_004_b_004.xyz,-154.433113
92,C#CC=C,c9h7_aggregates_ag_a_004_b_004_002_selected_result_007_000_ag_a_004_b_004.xyz,-154.521856
93,CC1=C[C]1,c5h5_aggregates_ag_a_004_b_004_004_selected_result_016_000_ag_a_004_b_004.xyz,-154.467522
94,[CH]CC#C,c9h6_aggregates_ag_a_004_b_004_001_selected_result_000_000_ag_a_004_b_004.xyz,NULL
95,[CH2]C1=C[CH]1,c7h8_aggregates_ag_a_004_b_004_009_selected_result_029_000_ag_a_004_b_004.xyz,-154.490674
