sl.no,smiles_format,xyz_file,energy,Formula,Mol_wt
39,C=[C]C,c5h8_aggregates_ag_a_003_b_005_001_selected_result_028_000_ag_a_003_b_005.xyz,,C3H5,41.095
40,[CH2]C=C,c4h10_aggregates_ag_a_003_b_005_003_selected_result_015_002_ag_a_003_b_005.xyz,,C3H5,41.095
41,[CH]=CC,c3h5_aggregates_ag_a_003_b_005_004_selected_result_023_003_ag_a_003_b_005.xyz,,C3H5,41.095
42,[CH]1CC1,c5h8_aggregates_ag_a_003_b_005_007_selected_result_023_000_ag_a_003_b_005.xyz,,C3H5,41.095
43,[C]CC,c7h8_aggregates_ag_a_003_b_005_008_selected_result_009_000_ag_a_003_b_005.xyz,,C3H5,41.095
44,C1CC1,c3h10_aggregates_ag_a_003_b_006_001_selected_result_005_005_ag_a_003_b_006.xyz,-117.723847,C3H6,42.102000000000004
45,C=CC,c8h7_aggregates_ag_a_003_b_006_002_selected_result_026_001_ag_a_003_b_006.xyz,-117.735855,C3H6,42.102000000000004
46,[CH]CC,c4h8_aggregates_ag_a_003_b_006_005_selected_result_019_001_ag_a_003_b_006.xyz,-117.735859,C3H6,42.102000000000004
47,[CH2]C[CH2],c3h6_aggregates_ag_a_003_b_006_005_selected_result_005_000_ag_a_003_b_006.xyz,-117.735855,C3H6,42.102000000000004
48,C[C]C,c3h8_aggregates_ag_a_003_b_006_006_selected_result_013_000_ag_a_003_b_006.xyz,-117.625961,C3H6,42.102000000000004
49,C[CH]C,c3h9_aggregates_ag_a_003_b_007_008_selected_result_003_000_ag_a_003_b_007.xyz,-118.302383,C3H7,43.109
50,[CH2]CC,c4h7_aggregates_ag_a_003_b_007_004_selected_result_016_000_ag_a_003_b_007.xyz,-118.295551,C3H7,43.109
51,CCC,c5h9_aggregates_ag_a_003_b_008_001_selected_result_013_000_ag_a_003_b_008.xyz,-118.963074,C3H8,44.116
52,[C]12[C]3[C]1C23,c10h3_aggregates_ag_a_004_b_001_003_selected_result_027_001_ag_a_004_b_001.xyz,-152.492047,C4H,49.086999999999996
