smiles,serial No.
c12c3c4c5cc2ccc2c1c(cc3ccc4ccc5)ccc2,9118
c12c3c4c(c5c1c(ccc2cc1c3cccc1)ccc5)cccc4,9119
c12c3c4c5c(c1cc1c(c2ccc3c2c(c4)cc3c(c2)cccc3)cc2c(c1)cccc2)cccc5,9120
c12c3c4c5c(c1cc1c(c2ccc3c2c(c4)cccc2)cccc1)cccc5,9121
c12c3c4c5c(c1cccc2c1c(c3ccc4)cccc1)cccc5,9122
c12c3c4c5c(c1cccc2c1c(c3ccc4)cc2c(c1)cccc2)cc1c(c5)cccc1,9123
c12c3c4c5c(c1cccc2c1c(c3ccc4)cccc1)cc1c(c5)cccc1,9124
c12c3c4c5c(c1cccc2c1c(c3ccc4)cccc1)cc1c(c5)cc2c(c1)cccc2,9125
c12c3c4c5c(c1cc1c(c2ccc3ccc4)cccc1)cccc5,9126
c12c3c4c5c(c1cc1c(c2ccc3ccc4)cc2c(c1)cccc2)cccc5,9127
c12c3c4c5c(c1cccc2ccc3ccc4)cccc5,9128
c12c3c4c5c(c1cccc2ccc3ccc4)cc1c(c5)cccc1,9129
c12c3c4c5c(c1cccc2ccc3ccc4)cc1c(c5)cc2c(c1)cccc2,9130
c12c3c4c5cc1c1c(c2ccc3ccc4ccc5)cccc1,9131
c12c3c(c4c(cc3)cccc4)ccc1ccc1c2cccc1,9135
c12c3c(ccc2ccc2c1cccc2)cccc3,9136
c12c3c4c(cc2ccc2c1c(cc3)ccc2)cc1c(c4)cccc1,9137
c12c3c4c(cc2ccc2c1c(cc3)ccc2)cc1c(c4)cc2c(c1)cccc2,9138
c12c3c4c(cc2ccc2c1c(cc3)ccc2)cc1c(c4)cc2c(c1)cc1c(c2)cccc1,9139
c12c(c3c(c4c1cccc4)cccc3)ccc1c2cccc1,9140
c12c3c4c5c(c1cccc2ccc3)cccc5ccc4,9142
c12c3c4c(cc1C=Cc2ccc3)cccc4,9143
c12c3c4c5c1c(ccc2ccc3ccc4)ccc5,9144
c12c3c(c4c2cccc4)cccc3cc2c1ccc1c2cccc1,9145
c12c3c4c(c1cccc2cc1c3cccc1)cccc4,9146
c12c3c4Cc1cccc2ccc3ccc4,9147
c12c3CC=Cc1cccc2ccc3,9149
c12c(Cc3c1cccc3)ccc1c2cccc1,9150
c12c3c4c(c1ccc1c2cccc1)cccc4ccc3,9152
c12c3c4c(c1cccc2c1c(c3)cccc1)cccc4,9153
c12c3c4c(c1cccc2ccc3)cccc4,9154
c12c3c4c(c1cccc2ccc3)cc1c(c4)cccc1,9158
c12Cc3c(c1ccc1c2cccc1)c1c(cc3)cccc1,9159
c12c3C=Cc1cccc2ccc3,9161
c12c3c(c4c(cc3)cccc4)ccc1c1c(cc2)cccc1,9162
c12c3c(ccc1c1c(cc2)cccc1)cc1c(c3)cccc1,9163
c12c(c3c(c4c1cccc4)cccc3)cc1c(c2)cccc1,9164
c12c(c3c(c4c1cccc4)cccc3)cc1c(c2)cc2c(c1)cccc2,9167
c12c(c3c(c4c(cc3)cccc4)cc2)ccc2c1ccc1c2cccc1,9168
c12c(c3c(cc2)cc2c(c3)cccc2)ccc2c1cc1c(c2)cccc1,9169
c12c(c3c(c4c1cccc4)cccc3)cccc2,9170
c12c(c3c(cc2)cccc3)ccc2c1cccc2,9171
[C@H]12C(=c3c(=CC1)cc1c(c3)cccc1)C=c1c(=C2)cccc1,9175
c12c(cc3c(c1)c1c(cc3)cccc1)ccc1c2cccc1,9176
c12c(cc3c(c1)c1c(cc3)cccc1)cc1c(c2)c2c(cc1)cccc2,9185
c12c(cc3c(c2)ccc2c3cccc2)cc2c(c1)c1c(cc2)cccc1,9186
c12Cc3c(c1ccc1c2cccc1)cccc3,9195
c12c3c(Cc1ccc1c2cccc1)cc1c(c3)cccc1,9199
c12Cc3c(c1cc1c(c2)cccc1)cccc3,9201
C12=Cc3c(C1=CC=CC2)cccc3,9204
c12c3c(c1cccc2)cccc3,9214
c12c(ccc1)ccccc2,9231
[C@@H]12C[C@@H](CC1)CC2,9233
[C@H]12CC[C@H](CC1)CC2,9235
[C@H]12C[C@@H]3C[C@H](C1)C[C@H](C2)C3,9238
[C@@H]12[C@@H](C1)CCCC2,9245
[C@H]12[C@@H]3[C@H]1CCC[C@H]23,9249
C1CCC1,9250
C1CCCC1,9253
C1CCCCCC1,9265
C1CCCCCCC1,9266
C1CCCCCCCCC1,9267
C1CCCCCCCCCCC1,9268
c1(CC=C)ccccc1,9309
c12c3c4c5c(c1cccc2ccc3ccc4)cc1c(c5)cc2c(c1)cc1c(c2)cccc1,9406
c12c3c(ccc2cc2c(c1C)cccc2)cccc3C,9407
c12c(c(cc3c1cccc3)C)cc1c(c2)cccc1,9422
c12c3c(ccc1cc1c(c2)ccc(c1)C)cc(cc3)C,9428
c12c(c3c4c5c1cccc5ccc4ccc3)c1c3c4c2cccc4ccc3ccc1,9797
c12c(c3c4c5c1cccc5ccc4ccc3)c1c(c3c2cccc3)cccc1,9798
c12c(c3c4c5c1cc1c(c5ccc4ccc3)cc3c(c1)cccc3)c1c3c4c2cccc4ccc3ccc1,9907
C1c2c(C=CC1)cccc2,9938
C(#C)C#C,9997
C(C)(C)(C)C,10041
C(C(C)C)(C)(C)C,10044
C1([C@@]2(CC[C@H]1C=C2)C)(C)C,10047
[C@]123[C@H](C([C@@H](C1)C(=CC3)C)(C)C)CC[C@H]2C,10099
[C@@]123[C@H](C(C=C3)(C)C)CC[C@@](C1)(CCC2)C,10102
[C@@]12([C@]3([C@@H]([C@@]4([C@@H](CC3)C(CCC4)(C)C)C)CC[C@@H]1[C@@]1([C@@H](CC2)[C@H](CC1)C(C)C)C)C)C,10115
[C@]12([C@@H](C[C@@H](CC1)C(=C)C)C(=CCC2)C)C,10123
C1([C@H]2C[C@@H]1CC[C@@H]2C)(C)C,10129
[C@H]12[C@H]3[C@@](C(=C)[C@@H]1CC3)(CCCC2(C)C)C,10137
c12c3c(CC1)cccc3cc1c2ccc2c1cccc2,10176
c12c(cc(C(C)C)cc2)ccc2c1cccc2C,10222
[C@@H]1([C@H]2C(=C(CC1)C)CCC(=C2)C)C(C)C,10223
[C@H]1(CC[C@@H](c2c1cc(cc2)C)C)C(C)C,10224
C(c1c2c(c(cc1)C)ccc(c2)C)(C)C,10225
c1(c(c(ccc1C)C)C)C,10263
[C@@H]12C([C@@H]1CCC(=C)[C@H]1[C@H]2[C@@H](CC1)C)(C)C,10270
C(c1cc2c(cc1)cccc2C)(C)C,10277
[C@@H]12[C@@H](CCC1)CCCC2,10325
C1Cc2c(C1)cccc2,10326
[C@@H]12C[C@@H](CC1)C=C2,10352
[C@@H]1(CCCC(=C1)C)C(=C)C,10354
[C@@H]1(CCC(=CC1)C(C)C)C,10369
c1(ccccc1)C#Cc1ccccc1,10390
C(C(=CCCC(=C)C=C)C)CC=C(C)C,10407
CC#CC,10419
[C@H](CCC[C@@H](CCCC(=C)C=C)C)(CCCC(C)C)C,10446
[C@@H]12[C@@](C(=C)[C@@H](C1)CC2)(CCC=C(C)C)C,10534
C(=CC)(C)C,10553
C(=C)(C(=C)C)C,10566
C1([C@@H](C(=CC=C1)C)C)(C)C,10581
[C@@]1([C@@H](C[C@@H](CC1)C(=C)C)C(=C)C)(C)C=C,10583
C(c1ccccc1)(c1ccccc1)c1ccccc1,10614
[C@H]12[C@@H](CC=C([C@@H]1CC=C(C2)C)C)C(C)C,10657
c1(c(cccc1C)C)C,10686
c1(c(cc(cc1C)C)C)C,10695
C(c1c(cccc1)C)(C)C,10703
c12c(c(ccc(c2)CC)C)ccc1C,10719
[C@@H]12C[C@@H](CC1)C(=C2C)C,10720
C(=C)(c1ccccc1)c1ccccc1,10740
C(c1cc(ccc1)C)(C)C,10812
c1(ccccc1)C#C,10821
C(Cc1ccc(cc1)C)c1ccc(cc1)C,10854
C(CCC)Cc1ccccc1,10864
C(Cc1ccccc1)(C)C,10870
C(CC(C)C)(C)(C)C,10907
C1C=CC=CC=C1,11000
C(CCCCCCCC)CCCCCCC,11006
C1([C@H]2[C@@H]1CC(=C)CC2)(C)C,11129
[C@H]1(C(C)C)CCC(=C)C=C1,11142
C(C)(C)(C)C=C,11210
C(C(C)C)(CC)(C)C,11215
C(CC)(C(=C)C)(C)C,11216
C(CC)(CC)(C)C,11229
C(CCC)(CC)(C)C,11233
C(C)(C)C=C,11239
C(C(=C)C)C,11240
C(C(=C)C)(C)C,11249
C(=C(C)C)(C)C,11250
C([C@H](CC)C)(C)(C)C,11255
[C@@H](C(C)C)(CC)C,11260
C(C(C)C)(C(C)C)C,11269
C(C(=C(C)C)C)(C)C,11270
c12c(cccc1C)cccc2C,11287
c12c(c(ccc1C)C)cccc2,11304
c12c(c(ccc2)C)cccc1C,11306
c12c(c(ccc1cccc2)C)C,11317
c12c(ccc(c2)C)cccc1C,11326
c12c(cc(cc1C)C)cccc2,11327
c12c(cc(cc2)C)cccc1C,11328
C(c1c(C(C)C)cccc1)(C)C,11345
c12c(cc(c(c1)C)C)cccc2,11386
c12c(cc(cc2)C)ccc(c1)C,11387
c12c(ccc(c1)C)ccc(c2)C,11396
[C@H]([C@@H](CC)C)(CC)C,11412
[C@H]1([C@H](CCCC1)C)C,11416
[C@H](C(C)C)(CCC)C,11447
C1C(=C(C)C)CC=C(C1)C,11463
c1(C=Cc2ccccc2)ccccc1,11502
[C@H](CCC)(CC)C,11507
